日期,最高温度,最低温度,白天天气,夜晚天气,白天风力,夜晚风力
2022-03-18,5,-1,雨夹雪,中雪,北风 4-5级,北风 4-5级
2022-03-19,3,-2,多云,晴,北风 5-6级,北风 5-6级
2022-03-20,7,2,晴,晴,北风 3-4级,北风 3-4级
2022-03-21,9,2,多云,晴,西南风 3-4级,西南风 3-4级
2022-03-22,8,4,多云,阴,西南风 3-4级,西南风 3-4级
2022-03-23,11,5,晴,多云,西南风 4-5级,西南风 4-5级
2022-03-24,14,8,多云,阴,南风 4-5级,南风 4-5级
2022-03-25,9,6,中到大雨,小雨,东北风 4-5级,东北风 4-5级
2022-03-26,12,5,晴,多云,西北风 4-5级,西北风 4-5级
2022-03-27,10,5,晴,晴,西北风 4-5级,西北风 4-5级
2022-03-28,12,6,晴,多云,南风 4-5级,南风 4-5级
2022-03-29,12,6,多云,小雨,南风 4-5级,南风 4-5级
2022-03-30,10,4,多云,晴,北风 4-5级,北风 4-5级
2022-03-31,11,4,晴,晴,西北风 4-5级,西北风 4-5级
2022-04-01,11,4,晴,多云,西北风 3-4级,西北风 3-4级
2022-04-02,13,6,晴,晴,西风 1-2级,西风 1-2级
2022-04-03,14,8,晴,晴,西南风 4-5级,西南风 4-5级
2022-04-04,16,9,多云,晴,南风 3-4级,南风 3-4级
2022-04-05,17,5,晴,晴,北风 3-4级,北风 3-4级
2022-04-06,9,5,阵雨,晴,东北风 4-5级,东北风 4-5级
2022-04-07,14,7,晴,晴,西风 4-5级,西风 4-5级
2022-04-08,17,11,晴,多云,南风 4-5级,南风 4-5级
2022-04-09,18,9,晴,晴,南风 4-5级,南风 4-5级
2022-04-10,20,11,晴,晴,南风 4-5级,南风 4-5级
2022-04-11,20,9,多云,小到中雨,北风 5-6级,北风 5-6级
2022-04-12,15,8,阵雨,多云,北风 4-5级,北风 4-5级
2022-04-13,14,8,晴,多云,东北风 4-5级,东北风 4-5级
2022-04-14,12,8,多云,晴,东北风 4-5级,东北风 4-5级
2022-04-15,16,8,晴,晴,北风 4-5级,北风 4-5级
2022-04-16,17,10,晴,晴,西风 3-4级,西风 3-4级
2022-04-17,17,11,多云,多云,西风 4-5级,西风 4-5级
2022-04-18,20,9,多云,晴,北风 4-5级,北风 4-5级
2022-04-19,19,12,晴,晴,西南风 4-5级,西南风 4-5级
2022-04-20,21,13,晴,晴,南风 4-5级,南风 4-5级
2022-04-21,20,11,多云,阵雨,南风 4-5级,南风 4-5级
2022-04-22,17,10,晴,晴,北风 3-4级,北风 3-4级
2022-04-23,19,12,晴,多云,南风 4-5级,南风 4-5级
2022-04-24,20,10,多云,多云,东风 3-4级,东风 3-4级
2022-04-25,17,11,多云,阵雨,南风 4-5级,南风 4-5级
2022-04-26,21,11,雷阵雨,晴,北风 4-5级,北风 4-5级
2022-04-27,17,11,晴,阴,北风 3-4级,北风 3-4级
2022-04-28,15,9,阵雨,多云,北风 4-5级,北风 4-5级
2022-04-29,17,10,晴,多云,西南风 3-4级,西南风 3-4级
2022-04-30,17,11,多云,晴,西北风 4-5级,西北风 4-5级
2022-05-01,20,10,晴,晴,西北风 3-4级,西北风 3-4级
2022-05-02,19,11,晴,晴,南风 4-5级,南风 4-5级
2022-05-03,23,15,晴,晴,西南风 4-5级,西南风 4-5级
2022-05-04,25,15,晴,晴,西南风 4-5级,西南风 4-5级
2022-05-05,23,14,晴,多云,南风 4-5级,南风 4-5级
2022-05-06,18,12,阵雨,多云,北风 4-5级,北风 4-5级
2022-05-07,18,12,晴,多云,北风 4-5级,北风 4-5级
2022-05-08,15,10,阵雨,多云,北风 3-4级,北风 3-4级
2022-05-09,17,11,晴,多云,北风 3-4级,北风 3-4级
2022-05-10,16,11,多云,阴,南风 3-4级,南风 3-4级
2022-05-11,18,12,多云,阴,北风 3-4级,北风 3-4级
2022-05-12,19,12,多云,多云,西北风 3-4级,西北风 3-4级
2022-05-13,20,13,多云,晴,西风 4-5级,西风 4-5级
2022-05-14,20,12,晴,晴,西北风 4-5级,西北风 4-5级
2022-05-15,21,14,晴,晴,西南风 3-4级,西南风 3-4级
2022-05-16,23,13,晴,晴,西风 3-4级,西风 3-4级
2022-05-17,20,13,晴,多云,南风 3-4级,南风 3-4级
2022-05-18,24,13,晴,晴,北风 3-4级,北风 3-4级
2022-05-19,22,15,晴,多云,南风 3-4级,南风 3-4级
2022-05-20,24,16,晴,晴,南风 3-4级,南风 3-4级
2022-05-21,25,18,晴,晴,西南风 4-5级,西南风 4-5级
2022-05-22,28,16,晴,晴,西风 3-4级,西风 3-4级
2022-05-23,29,18,晴,晴,西南风 4-5级,西南风 4-5级
2022-05-24,28,15,晴,雷阵雨,南风 4-5级,南风 4-5级
2022-05-25,23,15,多云,晴,北风 4-5级,北风 4-5级
2022-05-26,25,16,多云,多云,西北风 4-5级,西北风 4-5级
2022-05-27,26,18,晴,多云,西南风 4-5级,西南风 4-5级
2022-05-28,28,18,晴,多云,西南风 4-5级,西南风 4-5级
2022-05-29,26,16,雷阵雨,中雨,南风 4-5级,南风 4-5级
2022-05-30,25,17,晴,晴,西北风 4-5级,西北风 4-5级
2022-05-31,26,16,多云,雷阵雨,西南风 4-5级,西南风 4-5级
2022-06-01,25,17,晴,晴,南风 3-4级,南风 3-4级
2022-06-02,28,16,晴,多云,东南风 3-4级,东南风 3-4级
2022-06-03,24,19,多云,多云,东南风 4-5级,东南风 4-5级
2022-06-04,22,17,多云,阴,东南风 4-5级,东南风 4-5级
2022-06-05,21,17,多云,阴,东南风 4-5级,东南风 4-5级
2022-06-06,21,16,雷阵雨,阵雨,东北风 4-5级,东北风 4-5级
2022-06-07,21,15,多云,多云,东北风 3-4级,东北风 3-4级
2022-06-08,20,17,多云,多云,东风 3-4级,东风 3-4级
2022-06-09,22,18,多云,小到中雨,东南风 4-5级,东南风 4-5级
2022-06-10,22,17,雷阵雨,多云,东南风 4-5级,东南风 4-5级
2022-06-11,23,18,多云,多云,东南风 4-5级,东南风 4-5级
2022-06-12,23,18,雷阵雨,阴,南风 4-5级,南风 4-5级
2022-06-13,23,18,雷阵雨,雷阵雨,东南风 4-5级,东南风 4-5级
2022-06-14,21,17,中雨,中到大雨,东南风 4-5级,东南风 4-5级
2022-06-15,21,17,阵雨,晴,东风 3-4级,东风 3-4级
2022-06-16,26,19,晴,多云,南风 3-4级,南风 3-4级
2022-06-17,23,19,多云,多云,东南风 4-5级,东南风 4-5级
2022-06-18,23,19,阴,多云,东南风 4-5级,东南风 4-5级
2022-06-19,24,19,多云,阴,东风 3-4级,东风 3-4级
2022-06-20,25,20,多云,多云,东南风 3-4级,东南风 3-4级
2022-06-21,26,20,多云,多云,南风 3-4级,南风 3-4级
2022-06-22,25,20,多云,中到大雨,东南风 4-5级,东南风 4-5级
2022-06-23,27,21,雷阵雨,晴,西北风 4-5级,西北风 4-5级
2022-06-24,30,22,晴,多云,西北风 4-5级,西北风 4-5级
2022-06-25,30,20,多云,雷阵雨,西南风 4-5级,西南风 4-5级
2022-06-26,30,21,多云,中到大雨,东风 4-5级,东风 4-5级
2022-06-27,26,21,大到暴雨,小雨,东南风 5-6级,东南风 5-6级
2022-06-28,27,21,阴,多云,北风 3-4级,北风 3-4级
2022-06-29,27,21,多云,阵雨,西北风 3-4级,西北风 3-4级
2022-06-30,26,21,多云,雷阵雨,东风 3-4级,东风 3-4级
2022-07-01,26,21,多云,雷阵雨,南风 4-5级,南风 4-5级
2022-07-02,27,22,阴,阴,南风 4-5级,南风 4-5级
2022-07-03,26,22,多云,多云,东南风 3-4级,东南风 3-4级
2022-07-04,26,22,多云,多云,东南风 3-4级,东南风 3-4级
2022-07-05,27,22,多云,雷阵雨,东南风 3-4级,东南风 3-4级
2022-07-06,26,22,大雨,暴雨,东南风 4-5级,东南风 4-5级
2022-07-07,28,23,阵雨,多云,南风 4-5级,南风 4-5级
2022-07-08,31,23,晴,多云,西南风 3-4级,西南风 3-4级
2022-07-09,31,23,晴,晴,西南风 3-4级,西南风 3-4级
2022-07-10,27,22,雷阵雨,多云,东风 3-4级,东风 3-4级
2022-07-11,26,22,多云,多云,东风 3-4级,东风 3-4级
2022-07-12,26,22,雷阵雨,大雨,东南风 4-5级,东南风 4-5级
2022-07-13,28,22,阴,多云,北风 4-5级,北风 4-5级
2022-07-14,29,22,晴,晴,南风 3-4级,南风 3-4级
2022-07-15,30,23,晴,晴,西北风 4-5级,西北风 4-5级
2022-07-16,30,23,晴,晴,北风 3-4级,北风 3-4级
2022-07-17,30,23,多云,多云,南风 3-4级,南风 3-4级
2022-07-18,30,23,多云,晴,西北风 3-4级,西北风 3-4级
2022-07-19,31,23,晴,多云,西南风 3-4级,西南风 3-4级
2022-07-20,29,22,阵雨,雷阵雨,西南风 3-4级,西南风 3-4级
2022-07-21,29,22,阵雨,多云,西风 3-4级,西风 3-4级
2022-07-22,29,23,晴,雷阵雨,北风 3-4级,北风 3-4级
2022-07-23,27,21,雷阵雨,多云,东南风 3-4级,东南风 3-4级
2022-07-24,29,23,晴,晴,西南风 3-4级,西南风 3-4级
2022-07-25,30,23,晴,晴,南风 3-4级,南风 3-4级
2022-07-26,28,23,晴,晴,东南风 3-4级,东南风 3-4级
2022-07-27,29,24,多云,多云,东南风 3-4级,东南风 3-4级
2022-07-28,28,24,雷阵雨,小到中雨,东南风 4-5级,东南风 4-5级
2022-07-29,28,24,中雨,小雨,南风 4-5级,南风 4-5级
2022-07-30,29,24,阴,多云,东南风 3-4级,东南风 3-4级
2022-07-31,28,24,多云,多云,东风 3-4级,东风 3-4级
2022-08-01,30,25,多云,多云,东北风 3-4级,东北风 3-4级
2022-08-02,31,26,多云,多云,北风 3-4级,北风 3-4级
2022-08-03,32,26,晴,晴,西南风 3-4级,西南风 3-4级
2022-08-04,32,26,多云,雷阵雨,西南风 3-4级,西南风 3-4级
2022-08-05,31,25,多云,多云,西南风 3-4级,西南风 3-4级
2022-08-06,31,25,多云,多云,南风 3-4级,南风 3-4级
2022-08-07,29,24,中到大雨,小到中雨,西南风 4-5级,西南风 4-5级
2022-08-08,30,23,多云,多云,东北风 4-5级,东北风 4-5级
2022-08-09,27,21,小雨,多云,东北风 3-4级,东北风 3-4级
2022-08-10,28,22,晴,多云,西南风 3-4级,西南风 3-4级
2022-08-11,29,23,多云,晴,西南风 3-4级,西南风 3-4级
2022-08-12,29,24,多云,雷阵雨,东南风 3-4级,东南风 3-4级
2022-08-13,29,24,多云,多云,东风 3-4级,东风 3-4级
2022-08-14,30,26,小到中雨,大雨,东南风 4-5级,东南风 4-5级
2022-08-15,29,22,雷阵雨,晴,西北风 4-5级,西北风 4-5级
2022-08-16,28,23,晴,多云,北风 4-5级,北风 4-5级
2022-08-17,29,22,晴,晴,北风 3-4级,北风 3-4级
2022-08-18,28,24,雷阵雨,大雨,南风 5-6级,南风 5-6级
2022-08-19,30,22,多云,晴,西风 4-5级,西风 4-5级
2022-08-20,28,20,晴,晴,北风 3-4级,北风 3-4级
2022-08-21,28,23,多云,中雨,南风 4-5级,南风 4-5级
2022-08-22,26,21,中到大雨,多云,北风 4-5级,北风 4-5级
2022-08-23,26,20,晴,晴,北风 4-5级,北风 4-5级
2022-08-24,28,22,晴,多云,北风 3-4级,北风 3-4级
2022-08-25,27,20,多云,晴,西风 4-5级,西风 4-5级
2022-08-26,28,18,雷阵雨,晴,北风 4-5级,北风 4-5级
2022-08-27,25,19,晴,晴,北风 4-5级,北风 4-5级
2022-08-28,24,18,多云,阵雨,南风 3-4级,南风 3-4级
2022-08-29,23,18,小雨,阴,南风 4-5级,南风 4-5级
2022-08-30,24,19,多云,晴,东北风 3-4级,东北风 3-4级
2022-08-31,26,18,晴,晴,西北风 4-5级,西北风 4-5级
2022-09-01,25,16,晴,晴,北风 4-5级,北风 4-5级
2022-09-02,26,18,晴,晴,东北风 3-4级,东北风 3-4级
2022-09-03,25,21,多云,小雨,东风 4-5级,东风 4-5级
2022-09-04,25,18,小到中雨,多云,东北风 4-5级,东北风 4-5级
2022-09-05,25,17,雷阵雨,多云,北风 4-5级,北风 4-5级
2022-09-06,26,19,晴,晴,西风 4-5级,西风 4-5级
2022-09-07,28,20,晴,晴,西风 3-4级,西风 3-4级
2022-09-08,28,19,晴,晴,西南风 3-4级,西南风 3-4级
2022-09-09,27,20,晴,晴,南风 3-4级,南风 3-4级
2022-09-10,27,20,多云,多云,东南风 3-4级,东南风 3-4级
2022-09-11,25,20,晴,晴,东南风 3-4级,东南风 3-4级
2022-09-12,26,19,晴,晴,东南风 3-4级,东南风 3-4级
2022-09-13,27,20,晴,多云,东北风 4-5级,东北风 4-5级
2022-09-14,25,19,小到中雨,大雨,东风 4-5级,东风 4-5级
2022-09-15,23,20,暴雨,暴雨,东风 5-6级,东风 5-6级
2022-09-16,23,18,暴雨,多云,北风 5-6级,北风 5-6级
2022-09-17,26,21,晴,晴,西南风 4-5级,西南风 4-5级
2022-09-18,26,17,晴,晴,北风 5-6级,北风 5-6级
2022-09-19,21,14,晴,晴,北风 5-6级,北风 5-6级
2022-09-20,21,14,晴,晴,北风 4-5级,北风 4-5级
2022-09-21,23,18,晴,多云,南风 4-5级,南风 4-5级
2022-09-22,23,12,雷阵雨,雷阵雨,西南风 5-6级,西南风 5-6级
2022-09-23,21,15,多云,晴,西北风 5-6级,西北风 5-6级
2022-09-24,23,18,晴,晴,西风 3-4级,西风 3-4级
2022-09-25,23,18,晴,晴,西南风 4-5级,西南风 4-5级
2022-09-26,24,17,晴,晴,西南风 3-4级,西南风 3-4级
2022-09-27,24,17,晴,晴,南风 3-4级,南风 3-4级
2022-09-28,23,18,晴,晴,南风 3-4级,南风 3-4级
2022-09-29,24,19,晴,晴,南风 3-4级,南风 3-4级
2022-09-30,25,19,晴,晴,南风 3-4级,南风 3-4级
2022-10-01,23,17,多云,阵雨,南风 4-5级,南风 4-5级
2022-10-02,21,16,小到中雨,多云,东风 4-5级,东风 4-5级
2022-10-03,20,9,小到中雨,阴,北风 5-6级,北风 5-6级
2022-10-04,12,8,晴,晴,北风 6-7级,北风 6-7级
2022-10-05,13,9,晴,多云,北风 4-5级,北风 4-5级
2022-10-06,16,11,多云,晴,西风 3-4级,西风 3-4级
2022-10-07,18,13,晴,晴,西南风 3-4级,西南风 3-4级
2022-10-08,19,13,多云,中到大雨,南风 4-5级,南风 4-5级
2022-10-09,15,7,中雨,雷阵雨,西北风 5-6级,西北风 5-6级
2022-10-10,13,8,阴,晴,西北风 5-6级,西北风 5-6级
2022-10-11,17,11,晴,晴,西北风 3-4级,西北风 3-4级
2022-10-12,18,13,晴,多云,西南风 3-4级,西南风 3-4级
2022-10-13,18,13,多云,多云,西南风 3-4级,西南风 3-4级
2022-10-14,18,12,多云,多云,西南风 3-4级,西南风 3-4级
2022-10-15,19,11,多云,阴,西南风 3-4级,西南风 3-4级
2022-10-16,14,9,多云,晴,北风 4-5级,北风 4-5级
2022-10-17,13,7,晴,晴,西北风 4-5级,西北风 4-5级
2022-10-18,15,10,晴,晴,西北风 3-4级,西北风 3-4级
2022-10-19,18,13,晴,晴,西南风 4-5级,西南风 4-5级
2022-10-20,17,14,多云,多云,西南风 4-5级,西南风 4-5级
2022-10-21,19,13,晴,多云,西南风 4-5级,西南风 4-5级
2022-10-22,17,9,晴,晴,北风 4-5级,北风 4-5级
2022-10-23,18,8,多云,晴,北风 4-5级,北风 4-5级
2022-10-24,16,11,晴,晴,南风 4-5级,南风 4-5级
2022-10-25,18,14,晴,多云,南风 4-5级,南风 4-5级
2022-10-26,17,9,阴,阴,南风 4-5级,南风 4-5级
2022-10-27,14,6,晴,晴,北风 4-5级,北风 4-5级
2022-10-28,12,6,晴,晴,北风 4-5级,北风 4-5级
2022-10-29,13,7,晴,晴,北风 3-4级,北风 3-4级
2022-10-30,15,11,多云,阵雨,南风 3-4级,南风 3-4级
2022-10-31,16,8,阴,晴,西南风 4-5级,西南风 4-5级
2022-11-01,12,6,晴,晴,北风 4-5级,北风 4-5级
2022-11-02,13,2,小雨,小到中雨,南风 4-5级,南风 4-5级
2022-11-03,7,3,多云,晴,北风 4-5级,北风 4-5级
2022-11-04,11,6,晴,晴,西北风 4-5级,西北风 4-5级
2022-11-05,14,8,晴,晴,西风 4-5级,西风 4-5级
2022-11-06,16,10,阴,小雨,西南风 4-5级,西南风 4-5级
2022-11-07,16,6,多云,晴,北风 3-4级,北风 3-4级
2022-11-08,15,9,晴,多云,西南风 3-4级,西南风 3-4级
2022-11-09,16,12,多云,阵雨,西南风 3-4级,南风 3-4级
2022-11-10,16,14,阵雨,多云,东南风 3-4级,南风 3-4级
2022-11-11,16,14,阴,小雨,南风 3-4级,南风 4-5级
2022-11-12,16,2,中雨,多云,北风 6-7级,北风 5-6级
2022-11-13,6,2,晴,多云,北风 5-6级,西北风 4-5级
2022-11-14,12,7,晴,晴,西风 4-5级,西风 4-5级
2022-11-15,13,5,晴,晴,西北风 3-4级,西风 3-4级
2022-11-16,14,9,晴,晴,西南风 3-4级,西南风 4-5级
2022-11-17,16,8,晴,多云,西南风 3-4级,西南风 3-4级
2022-11-18,13,9,多云,多云,东风 3-4级,南风 3-4级
2022-11-19,15,8,多云,多云,西南风 3-4级,东北风 3-4级
2022-11-20,12,6,多云,多云,东北风 3-4级,东北风 4-5级
2022-11-21,10,3,多云,晴,东北风 4-5级,东北风 4-5级
2022-11-22,8,4,多云,多云,北风 3-4级,西风 3-4级
2022-11-23,13,7,晴,多云,西风 3-4级,南风 3-4级
2022-11-24,15,11,多云,多云,西南风 4-5级,西南风 4-5级
2022-11-25,16,2,阴,晴,西南风 4-5级,西北风 4-5级
2022-11-26,10,1,晴,多云,北风 4-5级,南风 4-5级
2022-11-27,13,9,小到中雨,中到大雨,南风 4-5级,南风 4-5级
2022-11-28,12,-3,小雨,多云,北风 4-5级,北风 5-6级
2022-11-29,-2,-7,阴,阵雪,北风 5-6级,北风 5-6级
2022-11-30,-1,-9,阵雪,多云,西北风 4-5级,西北风 4-5级
2022-12-01,0,-3,多云,多云,西北风 4-5级,西风 4-5级
2022-12-02,5,-1,多云,多云,西南风 4-5级,北风 4-5级
2022-12-03,0,-6,多云,多云,北风 4-5级,北风 4-5级
2022-12-04,1,-6,晴,晴,北风 3-4级,西北风 3-4级
2022-12-05,4,0,晴,晴,西风 4-5级,西风 4-5级
2022-12-06,5,2,晴,晴,西北风 4-5级,西北风 4-5级
2022-12-07,6,2,晴,晴,西北风 4-5级,西风 3-4级
2022-12-08,9,1,晴,晴,东风 3-4级,北风 3-4级
2022-12-09,7,0,多云,阵雪,北风 3-4级,北风 4-5级
2022-12-10,2,-3,中到大雪,晴,北风 4-5级,北风 4-5级
2022-12-11,4,-3,多云,多云,北风 3-4级,西南风 4-5级
2022-12-12,5,-1,多云,晴,西北风 4-5级,西北风 4-5级
2022-12-13,1,-7,阵雪,多云,西北风 5-6级,西北风 5-6级
2022-12-14,2,-6,多云,阵雪,西北风 4-5级,西南风 4-5级
2022-12-15,-2,-8,多云,晴,北风 4-5级,北风 4-5级
2022-12-16,-3,-9,多云,阵雪,西北风 4-5级,西北风 4-5级
2022-12-17,-7,-10,阵雪,阵雪,西北风 4-5级,西北风 4-5级
2022-12-18,-2,-10,多云,多云,西北风 4-5级,西北风 3-4级
2022-12-19,3,-4,晴,晴,北风 3-4级,南风 3-4级
2022-12-20,7,-1,多云,多云,西南风 4-5级,西北风 4-5级
2022-12-21,-1,-8,晴,多云,北风 4-5级,北风 4-5级
2022-12-22,-7,-10,阵雪,多云,北风 5-6级,北风 5-6级
2022-12-23,-5,-10,阴,多云,北风 5-6级,北风 5-6级
2022-12-24,-2,-6,多云,晴,北风 4-5级,北风 4-5级
2022-12-25,-2,-5,晴,晴,北风 4-5级,北风 3-4级
2022-12-26,0,-5,晴,晴,北风 3-4级,北风 3-4级
2022-12-27,3,-6,多云,多云,西北风 4-5级,西北风 4-5级
2022-12-28,0,-4,晴,晴,西北风 4-5级,西北风 3-4级
2022-12-29,0,-5,晴,晴,西北风 4-5级,西北风 3-4级
2022-12-30,3,-2,晴,晴,西南风 4-5级,西南风 4-5级
2022-12-31,5,-4,晴,晴,西风 3-4级,北风 3-4级
2023-01-01,0,-5,晴,晴,北风 4-5级,北风 3-4级
2023-01-02,-1,-5,晴,晴,北风 3-4级,西北风 3-4级
2023-01-03,2,-5,晴,晴,西北风 3-4级,东风 3-4级
2023-01-04,2,-3,晴,晴,东南风 3-4级,南风 3-4级
2023-01-05,6,0,晴,多云,西南风 3-4级,西南风 3-4级
2023-01-06,6,-4,阴,晴,西北风 4-5级,西北风 4-5级
2023-01-07,4,-3,晴,多云,西南风 3-4级,南风 3-4级
2023-01-08,8,-2,晴,晴,南风 4-5级,北风 4-5级
2023-01-09,2,-3,晴,晴,北风 4-5级,北风 3-4级
2023-01-10,6,-1,晴,晴,西南风 3-4级,西南风 3-4级
2023-01-11,7,3,多云,多云,南风 3-4级,东南风 3-4级
2023-01-12,9,5,小雨,小到中雨,东南风 3-4级,东北风 3-4级
2023-01-13,4,-8,阴,多云,北风 5-6级,北风 5-6级
2023-01-14,-7,-11,多云,晴,北风 5-6级,北风 5-6级
2023-01-15,-6,-11,晴,晴,北风 4-5级,北风 4-5级
2023-01-16,0,-9,晴,多云,北风 3-4级,西风 4-5级
2023-01-17,3,-6,晴,晴,西风 4-5级,南风 3-4级
2023-01-18,4,-3,晴,晴,西南风 4-5级,西南风 4-5级
2023-01-19,5,-9,晴,晴,西风 4-5级,西北风 5-6级
2023-01-20,-2,-9,晴,晴,北风 4-5级,南风 3-4级
2023-01-21,4,-2,晴,多云,南风 4-5级,北风 3-4级
2023-01-22,3,-12,多云,晴,北风 4-5级,北风 4-5级
2023-01-23,-12,-15,多云,阵雪,北风 4-5级,北风 4-5级
2023-01-24,-8,-16,阵雪,多云,北风 4-5级,西北风 4-5级
2023-01-25,-2,-8,晴,晴,西南风 4-5级,西南风 4-5级
2023-01-26,-1,-9,多云,晴,北风 4-5级,北风 4-5级
2023-01-27,-4,-5,晴,晴,西北风 4-5级,西北风 4-5级
2023-01-28,2,-4,晴,晴,西北风 3-4级,西风 3-4级
2023-01-29,3,-2,晴,晴,西北风 4-5级,西南风 3-4级
2023-01-30,7,1,晴,晴,南风 3-4级,南风 4-5级
2023-01-31,6,-2,晴,晴,西北风 3-4级,北风 5-6级
2023-02-01,0,-5,晴,晴,北风 5-6级,北风 4-5级
